	JPA_Jan	JPA_Feb	JPA_May	JPA_Jun	LOP_Jan	LOP_Feb	LOP_Jun	LOP_Jul	MBL_Jan	MBL_Feb	MBL_Jun	MBL_Aug
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Edaphobacter	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Solibacter	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;genus_NA	0	5	0	0	4	0	0	0	0	4	0	6
Bacteria;Acidobacteria;Acidobacteria_Gp22;Unassigned;Unassigned;Gp22	0	0	0	0	0	0	0	0	0	0	0	10
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix	27	0	0	0	0	17	0	0	3	13	0	0
Bacteria;Acidobacteria;Holophagae;orderx_NA;family_NA;genus_NA	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Iamiaceae;Iamia	0	3	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;family_NA;genus_NA	0	5	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Acidothermaceae;Acidothermus	0	7	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0	0	0	0	1	0	0	23	1	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium	0	0	3	0	0	0	0	0	1	0	12	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	41	15	8	0	0	6	0	14	1	29	55	73
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;genus_NA	0	0	3	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Brachybacterium	0	2	9	0	0	0	8	0	0	10	2	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae;Dermacoccus	0	0	0	0	0	0	10	45	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermacoccaceae;Kytococcus	0	0	8	0	0	0	8	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dietziaceae;Dietzia	0	0	0	0	0	0	0	0	3	6	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Frankiaceae;Frankia	0	0	5	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Blastococcus	0	0	0	0	0	0	0	0	1	0	4	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Modestobacter	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Janibacter	22	1	0	0	0	0	6	0	0	0	29	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Ornithinimicrobium	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Serinicoccus	0	0	0	0	0	0	0	0	0	0	5	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;genus_NA	0	3	0	0	0	0	0	0	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia	0	24	8	220	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leucobacter	0	0	0	0	0	0	0	0	0	0	0	10
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium	27	3	0	0	7	0	33	15	9	11	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Mycetocola	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;genus_NA	0	1	0	5	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter	0	2	0	0	0	0	0	0	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria	7	1	0	0	0	0	0	0	0	12	33	62
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus	0	0	0	0	0	0	4	20	3	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium	151	25	7	128	0	0	21	0	5	13	119	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus	0	10	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Nocardioides	0	0	0	0	2	0	0	0	0	3	30	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium	25	4	2	0	9	9	4	23	0	2	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Pseudonocardia	0	0	0	0	0	11	0	15	0	5	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Saccharopolyspora	0	0	3	15	0	0	0	0	0	0	0	6
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;genus_NA	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Sporichthyaceae;Sporichthya	0	2	0	0	3	9	0	0	0	7	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;family_NA;genus_NA	0	3	0	0	0	0	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	0	0	0	0	0	5	0	0	0	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	0	0	0	0	0	0	3	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	0	0	0	0	0	0	0	0	1	3	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	0	0	0	19	0	0	0	0	0	0	0	7
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella	0	0	0	0	0	0	0	0	0	0	121	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;genus_NA	0	0	0	0	0	0	0	20	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Crocinitomix	6	6	0	0	3	2	0	0	0	13	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Owenweeksia	0	2	0	0	0	0	0	0	0	0	20	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;genus_NA	0	0	0	0	0	0	0	0	0	0	0	18
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Actibacter	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Bergeyella	0	0	0	0	0	0	0	0	0	0	0	12
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	0	0	0	0	0	0	0	0	0	0	0	58
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	0	0	0	0	0	7	0	0	1	2	0	26
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cloacibacterium	0	15	0	0	3	0	104	57	6	47	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium	0	4	0	0	22	0	31	11	2	6	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Lacinutrix	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella	0	0	0	0	0	0	0	0	0	0	7	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Polaribacter	1	1	0	0	0	0	0	0	0	0	34	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Psychroserpens	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Wautersiella	0	0	0	0	6	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;genus_NA	2	0	0	0	0	8	0	2	0	0	1	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Ferruginibacter	0	0	8	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Flavisolibacter	2	398	0	697	2	8	0	0	13	33	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Sediminibacterium	45	555	0	3188	109	157	13	26	82	209	0	51
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Segetibacter	1	1	0	0	1	1	0	0	2	2	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;genus_NA	1	6	0	0	1	4	0	9	3	9	0	25
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Flectobacillus	0	0	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Flexibacter	0	57	0	81	0	0	0	0	2	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Hymenobacter	0	11	0	0	0	0	0	0	3	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flammeovirgaceae;Amoebophilus	36	0	17	0	44	140	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;genus_NA	0	0	44	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Solitalea	0	0	0	0	6	13	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Sphingobacteriaceae	0	7	0	0	36	3	0	0	0	2	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Unassigned;Prolixibacter	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;family_NA;genus_NA	0	1	0	0	4	8	11	0	3	8	0	210
Bacteria;Bacteroidetes;class_NA;orderx_NA;family_NA;genus_NA	0	0	0	0	0	0	0	0	0	0	0	604
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Rhabdochlamydia	92	10	36	0	16	96	0	0	19	60	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;family_NA;genus_NA	0	1	0	0	5	4	0	0	0	0	0	37
Bacteria;Chlorobi;Chlorobia;Chlorobiales;family_NA;genus_NA	0	0	0	0	0	0	0	0	1	5	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae;genus_NA	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;family_NA;genus_NA	0	0	0	0	0	0	0	0	0	0	0	372
Bacteria;Chloroflexi;Chloroflexi;orderx_NA;family_NA;genus_NA	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;class_NA;orderx_NA;family_NA;genus_NA	0	0	0	0	0	0	0	0	0	0	4	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;Unassigned;Cyanobacterium	0	3	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;Unassigned;Synechococcus	0	0	0	15	0	0	0	0	0	0	80	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;family_NA;genus_NA	0	0	0	0	0	0	0	2	0	0	2	2
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionII;SubgroupII;Chroococcidiopsis	0	4	0	0	0	0	0	0	9	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionII;SubgroupII;Pleurocapsa	0	0	0	0	0	0	0	0	0	11	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;Unassigned;Leptolyngbya	0	0	0	0	0	0	9	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;Unassigned;Anabaena	0	0	98	1682	0	0	5514	0	0	0	3520	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;Unassigned;Gloeotrichia	0	0	0	0	0	0	0	0	0	0	1	1
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;Unassigned;Nodularia	0	0	0	0	0	0	0	0	0	0	2	2
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;Unassigned;Nostoc	0	0	0	0	0	0	0	5	0	0	75	97
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;family_NA;genus_NA	0	0	0	0	0	0	2	0	0	0	2	1
Bacteria;Cyanobacteria;class_NA;orderx_NA;family_NA;genus_NA	0	16	9	49	8	22	32	13	71	350	434	404
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Unassigned;Caldithrix	0	0	0	0	0	0	0	0	0	0	0	43
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0	0	2	0	0	0	0	1	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus	0	3	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus	0	2	0	1	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	21	3	18	57	7	3	159	7	3	5	638	2
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Marinococcus	0	0	1	0	0	0	0	0	0	0	2	0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria	0	0	0	0	0	0	0	0	0	37	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Kurthia	0	0	4	10	0	0	17	6	0	2	29	4
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcus	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;genus_NA	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Sporolactobacillus	0	0	4	0	0	0	2	0	0	0	12	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus	0	0	0	0	0	0	0	0	1	2	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus	0	0	0	0	0	0	0	0	0	0	20	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0	2	15	0	2	27	11	17	2	3	36	18
Bacteria;Firmicutes;Bacilli;Bacillales;Unassigned;Gemella	0	0	0	0	0	0	0	0	5	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;family_NA;genus_NA	0	0	1	0	0	0	0	0	0	1	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	31	9	0	0	0	0	16	37	1	7	0	17
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Dolosicoccus	2	0	0	2	0	1	1	0	0	0	2	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Eremococcus	0	0	0	0	0	0	14	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Desemzia	0	0	3	1	0	0	0	0	0	0	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	0	0	0	0	0	0	7	0	3	0	58	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	0	0	0	0	0	0	0	0	1	3	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	17	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0	0	7	0	0	0	7	1	0	0	12	3
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	0	0	3	1	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella	0	0	0	0	0	0	9	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	0	0	2	0	0	0	0	9	1	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0	4	1	0	0	35	17	37	17	11	0	17
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Alkaliphilus	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0	0	0	0	0	0	5	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;genus_NA	0	0	0	0	0	0	1	0	0	0	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium	0	0	0	0	0	0	0	0	0	0	18	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;genus_NA	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;genus_NA	0	0	0	0	0	0	0	4	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitibacter	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Finegoldia	0	0	0	0	0	11	0	0	0	0	0	21
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Tissierella	0	0	0	0	0	0	1	0	0	0	9	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fastidiosipila	0	0	0	0	0	3	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Unassigned;Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	13
Bacteria;Firmicutes;Clostridia;Clostridiales;Unassigned;Tissierella	0	0	0	0	0	0	0	0	0	0	4	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Megasphaera	0	0	0	5	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Selenomonas	0	0	0	4	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Veillonella	0	0	0	4	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;family_NA;genus_NA	0	0	0	0	0	0	0	0	3	0	13	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus	0	0	0	0	0	0	3	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;genus_NA	0	0	0	0	0	0	5	0	0	0	0	0
Bacteria;Firmicutes;class_NA;orderx_NA;family_NA;genus_NA	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;Cetobacterium	0	0	0	0	0	0	0	0	0	0	0	7
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Leptotrichiaceae;Leptotrichia	0	0	0	7	0	0	0	0	0	3	0	0
Bacteria;Lentisphaerae;Lentisphaeria;orderx_NA;family_NA;genus_NA	0	0	0	0	0	8	0	0	3	0	0	0
Bacteria;OD1;class_NA;orderx_NA;family_NA;genus_NA	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;OP8;class_NA;orderx_NA;family_NA;genus_NA	0	0	0	3	0	0	0	0	0	0	0	0
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;genus_NA	0	0	0	4	0	19	0	0	0	0	2	0
Bacteria;Planctomycetes;Phycisphaerae;orderx_NA;family_NA;genus_NA	6	0	0	0	0	0	0	0	0	0	0	13
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Gemmata	3	13	31	2	0	38	14	0	43	304	452	608
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pirellula	0	0	0	0	3	13	0	0	0	6	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Rhodopirellula	0	0	0	0	0	0	0	0	0	0	0	15
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Singulisphaera	0	0	0	0	0	17	0	0	0	3	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Zavarzinella	0	0	11	0	0	0	0	0	0	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;genus_NA	10	0	12	0	5	10	0	28	0	4	35	14
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	13	2	0	0	5	17	0	0	3	9	0	18
